country,lockdown_start_date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million
Armenia,2020-03-24,65.469,1.35,0.0,0.0
Barbados,2020-03-28,83.516,0.0,0.0,0.0
Bermuda,2020-04-04,562.041,0.0,0.0,0.0
Bolivia,2020-03-22,1.713,0.086,0.0,0.0
Croatia,2020-03-18,16.808,3.167,0.0,0.0
Czech Republic,2020-03-16,27.827,7.844,0.0,0.0
Eritrea,2020-04-02,5.076,0.846,0.0,0.0
Georgia,2020-03-31,24.566,2.005,0.0,0.0
Guernsey,2020-03-25,343.017,44.741,0.0,0.0
Honduras,2020-03-20,2.423,1.212,0.0,0.0
Jordan,2020-03-18,3.43,1.862,0.0,0.0
Kuwait,2020-03-14,23.416,4.683,0.0,0.0
Lithuania,2020-03-16,5.143,1.837,0.0,0.0
Mongolia,2020-03-10,0.305,0.305,0.0,0.0
Namibia,2020-03-27,3.148,1.574,0.0,0.0
Nepal,2020-03-24,0.069,0.034,0.0,0.0
New Zealand,2020-03-26,54.332,15.138,0.0,0.0
Papua New Guinea,2020-03-24,0.112,0.0,0.0,0.0
Paraguay,2020-03-20,1.823,0.28,0.0,0.0
Peru,2020-03-16,2.153,0.849,0.0,0.0
Rwanda,2020-03-21,1.313,0.463,0.0,0.0
Serbia,2020-03-15,6.76,0.735,0.0,0.0
South Africa,2020-03-26,11.954,2.563,0.0,0.0
Trinidad and Tobago,2020-03-17,3.573,0.715,0.0,0.0
Ukraine,2020-03-17,0.114,0.046,0.0,0.0
Venezuela,2020-03-17,1.161,0.633,0.0,0.0
Vietnam,2020-04-01,2.178,0.062,0.0,0.0
India,2020-03-25,0.407,0.051,0.007,0.0
Poland,2020-03-13,1.295,0.476,0.026,0.026
Pakistan,2020-03-24,4.016,0.466,0.027,0.005
Russia,2020-03-28,7.099,1.343,0.027,0.014
Bangladesh,2020-03-26,0.237,0.0,0.03,0.006
Argentina,2020-03-19,2.146,0.398,0.044,0.0
Morocco,2020-03-19,1.463,0.271,0.054,0.0
Thailand,2020-03-25,13.381,1.533,0.057,0.0
Colombia,2020-03-25,7.429,1.415,0.059,0.0
Malaysia,2020-03-18,20.793,3.708,0.062,0.062
Zimbabwe,2020-03-30,0.471,0.0,0.067,0.0
Tunisia,2020-03-22,5.077,0.508,0.085,0.0
Austria,2020-03-16,95.488,22.762,0.111,0.0
Ecuador,2020-03-16,2.097,0.51,0.113,0.0
Portugal,2020-03-19,62.962,19.026,0.196,0.098
United Arab Emirates,2020-03-26,33.669,8.594,0.202,0.0
Ireland,2020-03-12,8.708,1.62,0.203,0.203
Australia,2020-03-23,67.02,23.961,0.275,0.0
Albania,2020-03-13,7.992,4.17,0.347,0.0
Costa Rica,2020-03-23,26.305,3.337,0.393,0.0
Azerbaijan,2020-03-31,26.925,6.312,0.395,0.0
Iraq,2020-03-22,5.32,0.522,0.423,0.075
Botswana,2020-04-02,1.701,0.425,0.425,0.425
Belgium,2020-03-18,107.251,13.633,0.431,0.0
Lebanon,2020-03-15,13.625,3.956,0.44,0.147
Romania,2020-03-25,39.61,9.669,0.572,0.208
Singapore,2020-04-07,235.029,11.281,1.026,0.0
Germany,2020-03-23,295.689,39.518,1.122,0.322
Hungary,2020-03-28,35.506,4.451,1.139,0.104
Panama,2020-03-25,102.671,22.713,1.391,0.0
Greece,2020-03-23,59.867,9.018,1.439,0.192
France,2020-03-17,101.619,18.537,2.267,0.322
Spain,2020-03-14,163.427,35.996,2.588,0.791
United Kingdom,2020-03-23,83.714,9.796,4.198,0.516
Italy,2020-03-09,121.978,24.677,6.053,2.2
Iran,2020-03-14,135.297,15.347,6.12,1.012
San Marino,2020-03-14,2150.981,176.793,147.327,0.0
